month,building_price_id,building_id,room_count,min_area,max_area,price_per_meter,max_price_per_meter,currency,is_sold
2024-05-24,47878,9921,3,64.29,71.07,580,610,interbank,no
2024-05-24,47877,9921,2,46.02,64.26,570,600,interbank,no
2024-05-24,47876,9921,1,24.23,50.8,570,650,interbank,no
2024-05-24,47875,10299,1,35,75,900,1000,interbank,no
2024-05-24,47874,10299,1,35,75,900,1000,interbank,no
2024-05-24,47873,9598,3,75.2,75.2,31500,31800,uah,no
2024-05-24,47872,9598,2,56.2,61.6,31500,31500,uah,no
2024-05-24,47871,9598,1,39.4,43.2,31500,32100,uah,no
2024-05-24,47870,9539,2,31.6,56.2,3100,3100,interbank,no
2024-05-24,47869,8406,2,59.95,64.85,23900,25800,uah,no
2024-05-24,47868,8406,1,38.61,45.2,24800,27400,uah,no
2024-05-24,47867,10394,3,86.95,91.1,1050,1200,interbank,no
2024-05-24,47866,10394,2,65.7,90.64,1100,1250,interbank,no
2024-05-24,47865,10394,1,37.52,53.46,1200,1400,interbank,no
2024-05-24,47864,10267,3,55,120,4200,4850,interbank,no
2024-05-24,47863,10267,2,39,52,4200,4850,interbank,no
2024-05-24,47862,10267,1,25,32,4200,4850,interbank,no
2024-05-24,47861,4456,3,80,120,698,698,interbank,no
2024-05-24,47860,4456,2,62,62,748,748,interbank,no
2024-05-24,47859,4456,1,40,46,748,748,interbank,no
2024-05-24,47858,9679,4,281.29,281.76,1650,1650,interbank,no
2024-05-24,47857,10465,1,34.46,54.4,690,690,interbank,no
2024-05-24,47856,10464,2,61,61,26175,26175,uah,no
2024-05-24,47855,10464,1,41,47,26000,26000,uah,no
2024-05-24,47854,5156,3,80,80,700,700,interbank,no
2024-05-24,47853,5156,3,80,80,700,700,interbank,no
2024-05-24,47852,9741,3,68,68,950,950,interbank,no
2024-05-24,47851,10462,3,83.6,83.6,820,820,interbank,no
2024-05-24,47850,10462,2,66.5,67,840,840,interbank,no
2024-05-24,47849,10462,1,44.1,44.7,850,850,interbank,no
2024-05-24,47848,6547,5,225.98,225.98,1721,1721,interbank,no
2024-05-24,47847,6547,4,62.64,62.64,1304,1304,interbank,no
2024-05-24,47846,6547,3,55.29,257.99,1330,1734,interbank,no
2024-05-24,47845,6547,2,40.97,139.72,1175,1669,interbank,no
2024-05-24,47844,6547,1,23.81,54.58,1240,1789,interbank,no
2024-05-24,47843,6848,3,74.7,88.9,925,1050,interbank,no
2024-05-24,47842,6848,2,62.7,63.1,975,1075,interbank,no
2024-05-24,47841,6848,1,42.4,52,975,1075,interbank,no
2024-05-24,47840,6432,2,0,0,0,0,interbank,yes
2024-05-24,47839,9977,4,116.06,116.06,1200,1200,interbank,no
2024-05-24,47838,8333,5,137,137,34000,34000,uah,no
2024-05-24,47837,8333,5,137,137,34000,34000,uah,no
2024-05-24,47836,8333,5,137,137,34000,34000,uah,no
2024-05-24,47835,8333,5,137,137,34000,34000,uah,no
2024-05-24,47834,8333,4,97,98,34000,34000,uah,no
2024-05-24,47833,8333,4,97,98,34000,34000,uah,no
2024-05-24,47832,8333,4,97,98,34000,34000,uah,no
2024-05-24,47831,8333,4,97,98,34000,34000,uah,no
2024-05-24,47830,8939,3,61.95,72.97,27500,28500,uah,no
2024-05-24,47829,8939,2,57.15,74.75,25500,29000,uah,no
2024-05-24,47828,8939,1,42.18,43,28500,29000,uah,no
2024-05-24,47827,9894,3,89.32,96.86,1175,1195,interbank,no
2024-05-24,47826,9894,3,89.32,96.86,1175,1195,interbank,no
2024-05-24,47825,10110,3,77.8,77.8,760,780,interbank,no
2024-05-24,47824,10110,2,58.5,78,760,780,interbank,no
2024-05-24,47823,10110,1,39.3,45,820,840,interbank,no
2024-05-24,47822,10048,3,62.5,93.5,1000,1400,interbank,no
2024-05-24,47821,10048,2,51.6,72,1000,1400,interbank,no
2024-05-24,47820,10048,1,32,52,1000,1400,interbank,no
2024-05-24,47816,10445,2,49.4,63,600,850,interbank,no
2024-05-24,47815,10445,1,30,37.3,763,850,interbank,no
2024-05-24,47814,9618,3,82.28,82.28,29000,29000,uah,no
2024-05-24,47813,5843,3,98.7,162.5,60083,69006,uah,no
2024-05-24,47812,5843,2,71.3,164.7,55689,76004,uah,no
2024-05-24,47811,5843,1,47.2,75.5,77206,81910,uah,no
2024-05-24,47810,9085,2,67.21,75.09,31000,32000,uah,no
2024-05-24,47809,9085,1,40.25,40.25,32000,33000,uah,no
2024-05-24,47808,5251,3,136,136,1213,1213,interbank,no
2024-05-24,47807,10453,3,63,63,41790,41790,uah,no
2024-05-24,47806,10453,2,63,63,41790,41790,uah,no
2024-05-24,47805,10453,1,41,44,41790,41790,uah,no
2024-05-24,47804,9336,2,59,67.35,930,930,interbank,no
2024-05-24,47803,9336,1,40.5,50.3,950,950,interbank,no
2024-05-24,47802,6877,3,0,0,0,0,interbank,yes
2024-05-24,47801,6877,3,0,0,0,0,interbank,yes
2024-05-24,47800,6877,2,62.32,78.5,1220,1330,interbank,no
2024-05-24,47799,6877,2,62.32,78.5,1220,1330,interbank,no
2024-05-24,47798,6877,1,56.02,64.61,1240,1330,interbank,no
2024-05-24,47797,6877,1,56.02,64.61,1240,1330,interbank,no
2024-05-24,47796,6877,2,62.26,75.78,800,1252,interbank,no
2024-05-24,47795,6877,1,37.21,50.01,830,1380,interbank,no
2024-05-24,47794,6877,3,0,0,0,0,interbank,yes
2024-05-24,47793,6877,2,67.41,81.1,750,1345,interbank,no
2024-05-24,47792,6877,1,32.5,53.03,800,850,interbank,no
2024-05-24,47791,8327,3,69,120,850,1200,interbank,no
