region,region_en
Івано-Франківська,Ivano-Frankivs'k
Волинська,Volyn
Вінницька,Vinnytsya
Дніпропетровська,Dnipropetrovs'k
Житомирська,Zhytomyr
Закарпатська,Transcarpathia
Запорізька,Zaporizhzhya
Київська,Kiev
Кіровоградська,Kirovohrad
Львівська,L'viv
Миколаївська,Mykolayiv
Одеська,Odessa
Полтавська,Poltava
Рівненська,Rivne
Сумська,Sumy
Тернопільська,Ternopil'
Харківська,Kharkiv
Херсонська,Kherson
Хмельницька,Khmel'nyts'kyy
Черкаська,Cherkasy
Чернівецька,Chernivtsi
Чернігівська,Chernihiv
